"","X","county","latitude","longitude","year","month","pm","ozone","surface_pressure","precipitation","drought","fire_burnt_area","temperature","GDP","population","wind"
"451",451,"Kings",36.3157,-119.6434,2017,7,11.6153167096774,82,1005.71110617933,0.00093544055867513,-1,0,40.5453125,39.5817859887081,107.672661870504,1.68341980439497
"452",452,"Kings",36.3157,-119.6434,2017,8,16.6868571774194,90,1004.86174990081,0.0219550644336933,-1,0,38.934456905242,39.5817859887081,107.672661870504,1.63861698164986
"453",453,"Kings",36.3157,-119.6434,2017,9,14.5566520333333,94,1005.70548130331,0.0976257103837593,-1,0,33.5615234375,39.5817859887081,107.672661870504,1.19294424970792
"454",454,"Kings",36.3157,-119.6434,2017,10,21.2995090806452,86,1009.27727757389,0.0628477872450933,-1,0,28.4329133064516,39.5817859887081,107.672661870504,1.227459794957
"455",455,"Kings",36.3157,-119.6434,2017,11,21.8146020166667,46,1012.71970169609,0.529483437270504,-1,0,22.3563802083333,39.5817859887081,107.672661870504,0.675740060541842
"456",456,"Kings",36.3157,-119.6434,2017,12,52.0826574354839,49,1016.75273780004,0.0372420636155241,0,0,18.0068170362903,39.5817859887081,107.672661870504,0.75962770309481
"457",457,"Kings",36.2333,-119.7662,2017,1,NA,40,1004.56363147193,3.92701900543259,2.6,0,13.7716859879032,39.5817859887081,107.672661870504,0.527820454426368
"458",458,"Kings",36.2333,-119.7662,2017,2,NA,41,1002.87054379092,3.87580755817346,-0.25,0,16.3989676339286,39.5817859887081,107.672661870504,0.489648651548388
"459",459,"Kings",36.2333,-119.7662,2017,3,NA,48,1005.4298623785,0.858536094659431,-1,0,21.422990171371,39.5817859887081,107.672661870504,0.948669669263569
"460",460,"Kings",36.2333,-119.7662,2017,4,NA,63,1002.29680643721,1.04312660978005,-1,0,24.5356770833334,39.5817859887081,107.672661870504,1.47913527324495
"461",461,"Kings",36.2333,-119.7662,2017,5,NA,76,997.819405127951,0.243234377590705,-1,0,30.7462953629032,39.5817859887081,107.672661870504,1.16608380076221
"462",462,"Kings",36.2333,-119.7662,2017,6,NA,73,996.514433892085,0.00169979051776667,-1,0,37.0247395833333,39.5817859887081,107.672661870504,1.80337624208692
"463",463,"Kings",36.2333,-119.7662,2017,7,NA,77,997.420038930768,0.00093544055867513,-1,0,40.4662109375,39.5817859887081,107.672661870504,1.59819188653643
"464",464,"Kings",36.2333,-119.7662,2017,8,NA,77,996.581932404285,0.0280698641064257,-1,0,38.6416771673387,39.5817859887081,107.672661870504,1.5292523624401
"465",465,"Kings",36.2333,-119.7662,2017,9,NA,83,997.245667774251,0.0636121372041849,-1,0,33.2161783854167,39.5817859887081,107.672661870504,1.24094355845973
"466",466,"Kings",36.2333,-119.7662,2017,10,NA,72,1000.59809388018,0.025776814229151,-1,0,28.3691532258065,39.5817859887081,107.672661870504,1.14880672612632
"467",467,"Kings",36.2333,-119.7662,2017,11,NA,49,1003.8436473418,0.197755555024756,-1,0,22.31640625,39.5817859887081,107.672661870504,0.561460888767278
"468",468,"Kings",36.2333,-119.7662,2017,12,NA,44,1007.64043865304,0.050618187899627,0,0,18.3366116431452,39.5817859887081,107.672661870504,0.560544806411468
"469",469,"Los Angeles",33.7924,-118.1753,2017,1,12.2438214222222,NA,1009.83414029954,4.47161835128535,2.8,0,15.9514364919355,65.5619045319091,2488.59876847291,0.854178617271778
"470",470,"Los Angeles",33.7924,-118.1753,2017,2,9.21157170238095,NA,1008.45042079944,2.99030813056586,1,0,16.38466796875,65.5619045319091,2488.59876847291,0.800317222433247
"471",471,"Los Angeles",33.7924,-118.1753,2017,3,13.6996888655914,NA,1008.91728550883,0.229476078327058,1,0,21.3818485383065,65.5619045319091,2488.59876847291,1.41468252516056
"472",472,"Los Angeles",33.7924,-118.1753,2017,4,10.2924867888889,NA,1005.94735097203,0.085013936058748,1,0,23.1162760416667,65.5619045319091,2488.59876847291,2.10517304924596
"473",473,"Los Angeles",33.7924,-118.1753,2017,5,10.8412378494624,NA,1004.41175981948,0.313172398847586,1,0,22.124162046371,65.5619045319091,2488.59876847291,2.2370871823506
"474",474,"Los Angeles",33.7924,-118.1753,2017,6,11.6148201277778,NA,1003.02241544336,0.0873069859360226,1,0,24.8671223958333,65.5619045319091,2488.59876847291,2.44493617185717
"475",475,"Los Angeles",33.7924,-118.1753,2017,7,13.2835125591398,NA,1004.8898742809,0.193933805229298,1,0,27.480386844758,65.5619045319091,2488.59876847291,2.43801315832424
"476",476,"Los Angeles",33.7924,-118.1753,2017,8,12.9313161333333,NA,1003.71427519341,0.101829635158764,1,0,27.763558467742,65.5619045319091,2488.59876847291,2.42490532630839
"477",477,"Los Angeles",33.7924,-118.1753,2017,9,11.5406415222222,NA,1003.07303932751,0.230240428286149,1,0,26.9017252604167,65.5619045319091,2488.59876847291,1.93837094391073
"478",478,"Los Angeles",33.7924,-118.1753,2017,10,15.2887585268817,NA,1004.15864039873,0.140811483072434,1,0,26.965738407258,65.5619045319091,2488.59876847291,1.12332581718751
"479",479,"Los Angeles",33.7924,-118.1753,2017,11,13.5032028611111,NA,1007.78106055346,0.112530534586045,1,0,22.6055989583333,65.5619045319091,2488.59876847291,1.13159529843082
"480",480,"Los Angeles",33.7924,-118.1753,2017,12,24.6482781505376,NA,1010.28413038088,0.0372420636155241,1,0,21.4564138104838,65.5619045319091,2488.59876847291,0.582431406881253
"481",481,"Los Angeles",33.8597,-118.2007,2017,1,15.1383126612903,NA,1006.83045650665,4.8392706816084,2.8,0,16.170785030242,65.5619045319091,2488.59876847291,0.391306567539448
"482",482,"Los Angeles",33.8597,-118.2007,2017,2,10.1622264583333,NA,1005.44111213053,3.07476880104548,0.5,0,16.7481236049107,65.5619045319091,2488.59876847291,0.501626523782587
"483",483,"Los Angeles",33.8597,-118.2007,2017,3,12.753838516129,NA,1005.93610122,0.232151303183879,0,0,22.9140120967742,65.5619045319091,2488.59876847291,0.95246882809474
"484",484,"Los Angeles",33.8597,-118.2007,2017,4,10.9101914166667,NA,1002.93804230311,0.0620834372860018,0,0,24.84052734375,65.5619045319091,2488.59876847291,1.65477553776525
"485",485,"Los Angeles",33.8597,-118.2007,2017,5,10.9475163387097,NA,1001.39120139853,0.330370272927146,0,0,23.6845514112903,65.5619045319091,2488.59876847291,1.90305877866885
"486",486,"Los Angeles",33.8597,-118.2007,2017,6,10.7513576,NA,1000.0637306586,0.0896000358132972,0,0,27.005859375,65.5619045319091,2488.59876847291,2.16065029488801
"487",487,"Los Angeles",33.8597,-118.2007,2017,7,12.3237213655914,NA,1001.9536890002,0.182850730822472,0,0,29.641267641129,65.5619045319091,2488.59876847291,2.20128122178623
"488",488,"Los Angeles",33.8597,-118.2007,2017,8,14.400516311828,NA,1000.7724650367,0.099536585281489,0,0,29.814339717742,65.5619045319091,2488.59876847291,2.07614538743508
"489",489,"Los Angeles",33.8597,-118.2007,2017,9,11.9044987888889,NA,1000.1312291708,0.240559152733886,0,0,28.4783203125,65.5619045319091,2488.59876847291,1.58326670778182
"490",490,"Los Angeles",33.8597,-118.2007,2017,10,16.1503214193548,NA,1001.26745412617,0.144633232867892,0,0,28.6283518145162,65.5619045319091,2488.59876847291,0.767026946599428
"491",491,"Los Angeles",33.8597,-118.2007,2017,11,14.5091314333333,NA,1004.83925039675,0.0953326605064846,0,0,23.77294921875,65.5619045319091,2488.59876847291,0.751798007918667
"492",492,"Los Angeles",33.8597,-118.2007,2017,12,30.2790572688172,NA,1007.38169435628,0.0334203138200664,0,0,22.574357358871,65.5619045319091,2488.59876847291,0.633508480062298
"493",493,"Los Angeles",34.0666,-118.2269,2017,1,9.15666666666667,38,993.72449538782,6.56593723919628,2.8,0,15.5296875,65.5619045319091,2488.59876847291,0.498994571458014
"494",494,"Los Angeles",34.0666,-118.2269,2017,2,8.84615384615385,45,992.312651507637,3.79402211255066,0.5,0,16.5932861328125,65.5619045319091,2488.59876847291,0.388069036811914
"495",495,"Los Angeles",34.0666,-118.2269,2017,3,11.535,61,992.925762993454,0.343746397211249,0,0,23.7831842237903,65.5619045319091,2488.59876847291,0.195182061374025
"496",496,"Los Angeles",34.0666,-118.2269,2017,4,9.54310344827586,86,989.775832424122,0.0315094389223385,0,0,26.0356770833334,65.5619045319091,2488.59876847291,0.532056005263198
"497",497,"Los Angeles",34.0666,-118.2269,2017,5,10.6096774193548,76,988.189617387423,0.519164712822769,0,0,25.0679624495968,65.5619045319091,2488.59876847291,1.04095502418903
"498",498,"Los Angeles",34.0666,-118.2269,2017,6,12.8133333333333,72,986.991518795874,0.05214688781781,0,0,29.8559895833334,65.5619045319091,2488.59876847291,1.03364528242587
"499",499,"Los Angeles",34.0666,-118.2269,2017,7,14.0209677419355,83,988.960225401706,0.0681982369587341,0,0,32.4997290826613,65.5619045319091,2488.59876847291,1.1414909941146
"500",500,"Los Angeles",34.0666,-118.2269,2017,8,13.391935483871,85,987.846499950407,0.0903643857723888,0,0,32.3757371471774,65.5619045319091,2488.59876847291,0.977366363398175
"501",501,"Los Angeles",34.0666,-118.2269,2017,9,11.785,79,987.261512844674,0.215335604083863,0,0,30.1298502604167,65.5619045319091,2488.59876847291,0.737457428294001
"502",502,"Los Angeles",34.0666,-118.2269,2017,10,14.3645161290323,78,988.577733832573,0.140429308092889,0,0,30.1638230846774,65.5619045319091,2488.59876847291,0.205932258021511
"503",503,"Los Angeles",34.0666,-118.2269,2017,11,11.4966666666667,44,991.992033574688,0.0968613604246677,0,0,24.68349609375,65.5619045319091,2488.59876847291,0.258826289016657
"504",504,"Los Angeles",34.0666,-118.2269,2017,12,17.1216666666667,40,994.641350178536,0.00934329010868207,0,0,23.5093686995968,65.5619045319091,2488.59876847291,1.35192137391698
"505",505,"Los Angeles",34.6697,-118.1305,2017,1,4.40673262903226,42,931.040877058123,3.18521737013421,2.6,0,11.2151398689516,65.5619045319091,2488.59876847291,1.56771133587745
"506",506,"Los Angeles",34.6697,-118.1305,2017,2,4.242319125,47,929.589659045824,2.16481017474695,1.5,0,14.3782679966518,65.5619045319091,2488.59876847291,2.42157110875287
"507",507,"Los Angeles",34.6697,-118.1305,2017,3,5.4790255483871,62,931.51899151954,0.160684582008816,1,0,21.5281439012097,65.5619045319091,2488.59876847291,1.67877535526844
"508",508,"Los Angeles",34.6697,-118.1305,2017,4,7.17709737037037,67,928.425309710375,0.0292163890450621,1,0,23.7769205729167,65.5619045319091,2488.59876847291,2.54651073568627
"509",509,"Los Angeles",34.6697,-118.1305,2017,5,8.33587367741935,76,926.09098616346,0.0781347864269241,1,0,27.4044039818548,65.5619045319091,2488.59876847291,2.58791452278456
"510",510,"Los Angeles",34.6697,-118.1305,2017,6,9.92256926923077,86,925.77036823051,0.0146937398223228,1,0,34.6976888020833,65.5619045319091,2488.59876847291,3.25357779241456
